code,system
E66,snomedct
414916001,snomedct
161453001,snomedct
708983005,snomedct
185742009,snomedct
185741002,snomedct
763085007,snomedct
185743004,snomedct
715279006,snomedct
268522006,snomedct
185750000,snomedct
170799008,snomedct
170798000,snomedct
296526005,snomedct
170807005,snomedct
722051004,snomedct
238134004,snomedct
170797005,snomedct
190965006,snomedct
268551005,snomedct
294493008,snomedct
248311001,snomedct
238136002,snomedct
415530009,snomedct
442261001,snomedct
275919002,snomedct
266724001,snomedct
235408004,snomedct
173914005,snomedct
276792008,snomedct
190966007,snomedct
426559000,snomedct
10977641000119108,snomedct
363247006,snomedct
703316004,snomedct
248325000,snomedct
185744005,snomedct
185745006,snomedct
185746007,snomedct
170794003,snomedct
170795002,snomedct
414574004,snomedct
429538006,snomedct
18692006,snomedct
49245001,snomedct
265380001,snomedct
426738005,snomedct
427980007,snomedct
427029008,snomedct
265364006,snomedct
426273008,snomedct
302872003,snomedct
185748008,snomedct
185747003,snomedct
30803004,snomedct
162864005,snomedct
408512008,snomedct
87604009,snomedct
173913004,snomedct
173748000,snomedct
265381002,snomedct
265365007,snomedct
16093531000119101,snomedct
698450007,snomedct
428754001,snomedct
424753004,snomedct
268916007,snomedct
307818003,snomedct
162690006,snomedct
173911002,snomedct
284352003,snomedct
329281000119107,snomedct
427074001,snomedct
63702009,snomedct
